NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,LOT,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
BATH BEACH,01 ONE FAMILY DWELLINGS,1,56,A5,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1,A5,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,68,A5,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1,A5,925000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,22,A5,11228.0,1.0,0.0,1.0,2900.0,1660.0,1930.0,1,A5,1275000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,42,S1,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1,S1,1505000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,43,S1,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1,S1,1650000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,54,S1,11214.0,1.0,1.0,2.0,1917.0,2870.0,1931.0,1,S1,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,77,A9,11214.0,1.0,0.0,1.0,1933.0,2372.0,1925.0,1,A9,925000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,26,A2,11228.0,1.0,0.0,1.0,1933.0,1320.0,1940.0,1,A2,950000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,20,A5,11228.0,1.0,0.0,1.0,2417.0,2000.0,1935.0,1,A5,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,10,S1,11214.0,1.0,1.0,2.0,1160.0,2320.0,1920.0,1,S1,990000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,19,A2,11214.0,1.0,0.0,1.0,3458.0,1184.0,1899.0,1,A2,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,35,A9,11214.0,1.0,0.0,1.0,1440.0,1281.0,1915.0,1,A9,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,38,A9,11214.0,1.0,0.0,1.0,1740.0,1382.0,1915.0,1,A9,680000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,21,A1,11214.0,1.0,0.0,1.0,2900.0,1776.0,1920.0,1,A1,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6,S1,11214.0,1.0,1.0,2.0,901.0,1462.0,1930.0,1,S1,765000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,65,A5,11228.0,1.0,0.0,1.0,1990.0,1328.0,1925.0,1,A5,850000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,9,A5,11214.0,1.0,0.0,1.0,1536.0,1562.0,1930.0,1,A5,900000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,38,S1,11214.0,1.0,1.0,2.0,1305.0,2610.0,1910.0,1,S1,999000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,39,S1,11214.0,1.0,1.0,2.0,986.0,1972.0,1910.0,1,S1,820000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,57,A5,11214.0,1.0,0.0,1.0,2015.0,1458.0,1910.0,1,A5,900000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,36,S0,11214.0,1.0,2.0,3.0,1200.0,2160.0,1925.0,1,S0,1200000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,8,A5,11214.0,1.0,0.0,1.0,1740.0,1674.0,1955.0,1,A5,620000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,8,A5,11214.0,1.0,0.0,1.0,1740.0,1674.0,1955.0,1,A5,992000
BATH BEACH,01 ONE FAMILY DWELLINGS,1,34,A1,11228.0,1.0,0.0,1.0,3872.0,2688.0,2001.0,1,A1,0
BATH BEACH,01 ONE FAMILY DWELLINGS,1,103,A5,11228.0,1.0,0.0,1.0,1740.0,1629.0,1955.0,1,A5,0
